External Temperature (C), Barometric Pressure (Pa), Acceleration X, Acceleration Y, Acceleration Z
25.02, 101644.41, 0.21,-0.57, 9.69, 4414
25.02, 101645.90, 0.21,-0.56, 9.66, 4425
25.02, 101645.90, 0.23,-0.52, 9.66, 4429
25.02, 101645.90, 0.25,-0.57, 9.73, 4434
25.02, 101645.90, 0.23,-0.57, 9.81, 4439
25.02, 101645.90, 0.27,-0.52, 9.69, 4444
25.02, 101645.90, 0.23,-0.57, 9.64, 4449
25.02, 101645.90, 0.17,-0.52, 9.64, 4454
25.02, 101645.47, 0.25,-0.59, 9.64, 4459
25.02, 101645.47, 0.27,-0.56, 9.60, 4464
25.02, 101645.47, 0.29,-0.56, 9.62, 4469
25.02, 101645.47, 0.29,-0.50, 9.58, 4474
25.02, 101645.47, 0.31,-0.57, 9.64, 4479
25.02, 101645.47, 0.25,-0.59, 9.62, 4484
25.02, 101645.47, 0.23,-0.59, 9.62, 4489
25.02, 101645.89, 0.29,-0.56, 9.64, 4494
25.02, 101645.89, 0.27,-0.56, 9.54, 4499
25.02, 101645.89, 0.27,-0.56, 9.60, 4504
25.02, 101645.89, 0.23,-0.56, 9.62, 4509
25.02, 101645.89, 0.21,-0.54, 9.56, 4514
25.02, 101645.89, 0.19,-0.54, 9.64, 4519
25.02, 101645.89, 0.15,-0.48, 9.73, 4524
25.02, 101644.47, 0.23,-0.61, 9.73, 4529
25.02, 101644.47, 0.21,-0.69, 9.69, 4534
25.02, 101644.47, 0.23,-0.57, 9.69, 4539
25.02, 101644.47, 0.19,-0.59, 9.73, 4544
25.02, 101644.47, 0.25,-0.50, 9.79, 4549
25.02, 101644.47, 0.21,-0.48, 9.64, 4554
25.02, 101644.47, 0.21,-0.56, 9.62, 4559
25.02, 101644.14, 0.21,-0.57, 9.58, 4564
25.02, 101644.14, 0.21,-0.63, 9.62, 4569
25.02, 101644.14, 0.19,-0.59, 9.64, 4574
25.02, 101644.14, 0.17,-0.57, 9.67, 4579
25.02, 101644.14, 0.17,-0.56, 9.58, 4584
25.02, 101644.14, 0.25,-0.56, 9.66, 4589
25.02, 101644.14, 0.31,-0.59, 9.71, 4594
25.02, 101642.27, 0.23,-0.57, 9.66, 4599
25.02, 101642.27, 0.25,-0.56, 9.62, 4604
25.02, 101642.27, 0.31,-0.61, 9.64, 4609
25.02, 101642.27, 0.21,-0.61, 9.66, 4614
25.02, 101642.27, 0.29,-0.57, 9.64, 4619
25.02, 101642.27, 0.29,-0.59, 9.69, 4624
25.02, 101642.27, 0.34,-0.61, 9.67, 4629
25.02, 101644.14, 0.21,-0.59, 9.67, 4634
25.02, 101644.14, 0.29,-0.52, 9.75, 4639
25.02, 101644.14, 0.17,-0.50, 9.64, 4644
