External Temperature (C), Barometric Pressure (Pa), Acceleration X, Acceleration Y, Acceleration Z
25.13, 101646.95, 0.21,-0.50, 9.56, 2136
25.13, 101646.95, 0.23,-0.54, 9.58, 2148
25.13, 101645.69, 0.21,-0.56, 9.54, 2152
25.13, 101645.69, 0.21,-0.54, 9.60, 2157
25.13, 101645.69, 0.23,-0.56, 9.58, 2162
25.13, 101645.69, 0.15,-0.57, 9.60, 2167
25.13, 101645.69, 0.21,-0.57, 9.81, 2172
25.13, 101645.69, 0.21,-0.61, 9.56, 2177
25.13, 101645.69, 0.21,-0.59, 9.71, 2182
25.13, 101645.62, 0.21,-0.59, 9.62, 2187
25.13, 101645.62, 0.21,-0.59, 9.66, 2192
25.13, 101645.62, 0.13,-0.56, 9.71, 2197
25.13, 101645.62, 0.15,-0.56, 9.66, 2202
25.13, 101645.62, 0.21,-0.59, 9.62, 2207
25.13, 101645.62, 0.25,-0.57, 9.58, 2212
25.13, 101645.62, 0.21,-0.65, 9.62, 2217
25.13, 101643.64, 0.23,-0.59, 9.60, 2222
25.13, 101643.64, 0.25,-0.63, 9.67, 2227
25.13, 101643.64, 0.21,-0.61, 9.60, 2232
25.13, 101643.64, 0.19,-0.59, 9.64, 2237
25.13, 101643.64, 0.23,-0.57, 9.60, 2242
25.13, 101643.64, 0.21,-0.61, 9.60, 2247
25.13, 101643.64, 0.13,-0.54, 9.64, 2252
25.13, 101644.55, 0.23,-0.57, 9.64, 2257
25.13, 101644.55, 0.23,-0.54, 9.60, 2262
25.13, 101644.55, 0.19,-0.52, 9.64, 2267
25.13, 101644.55, 0.17,-0.54, 9.66, 2272
25.13, 101644.55, 0.23,-0.57, 9.58, 2277
25.13, 101644.55, 0.23,-0.52, 9.58, 2282
25.13, 101644.55, 0.23,-0.50, 9.52, 2287
25.13, 101646.02, 0.17,-0.56, 9.60, 2292
25.13, 101646.02, 0.21,-0.54, 9.60, 2297
25.13, 101646.02, 0.21,-0.59, 9.64, 2302
25.13, 101646.02, 0.13,-0.57, 9.52, 2307
25.13, 101646.02, 0.23,-0.59, 9.71, 2312
25.13, 101646.02, 0.17,-0.56, 9.71, 2317
25.13, 101646.02, 0.23,-0.52, 9.71, 2322
25.13, 101648.00, 0.27,-0.59, 9.54, 2327
25.13, 101648.00, 0.19,-0.57, 9.66, 2332
25.13, 101648.00, 0.21,-0.57, 9.58, 2337
25.13, 101648.00, 0.23,-0.63, 9.60, 2342
