External Temperature (C), Barometric Pressure (Pa), Acceleration X, Acceleration Y, Acceleration Z
24.69, 101637.84, 0.25,-0.52, 9.69, 2787
24.69, 101637.45, 0.21,-0.52, 9.60, 2797
24.69, 101637.45, 0.23,-0.57, 9.64, 2802
24.69, 101637.45, 0.23,-0.61, 9.60, 2807
24.69, 101637.45, 0.21,-0.63, 9.56, 2812
24.69, 101637.45, 0.27,-0.59, 9.62, 2817
24.69, 101637.45, 0.19,-0.63, 9.60, 2822
24.69, 101636.14, 0.15,-0.61, 9.64, 2827
24.69, 101636.14, 0.19,-0.56, 9.69, 2832
24.69, 101636.14, 0.15,-0.50, 9.62, 2837
24.69, 101636.14, 0.19,-0.48, 9.62, 2842
24.69, 101636.14, 0.19,-0.54, 9.62, 2847
24.69, 101636.14, 0.25,-0.54, 9.67, 2852
24.69, 101636.14, 0.19,-0.59, 9.43, 2857
24.69, 101634.11, 0.19,-0.65, 9.54, 2862
24.69, 101634.11, 0.13,-0.56, 9.54, 2867
24.69, 101634.11, 0.21,-0.61, 9.67, 2872
24.69, 101634.11, 0.27,-0.67, 9.69, 2877
24.69, 101634.11, 0.25,-0.59, 9.58, 2882
24.69, 101634.11, 0.25,-0.54, 9.58, 2887
24.69, 101634.11, 0.23,-0.54, 9.58, 2892
24.69, 101636.14, 0.23,-0.50, 9.67, 2897
24.69, 101636.14, 0.25,-0.46, 9.66, 2902
24.69, 101636.14, 0.29,-0.50, 9.62, 2907
24.69, 101636.14, 0.21,-0.63, 9.62, 2912
24.69, 101636.14, 0.23,-0.65, 9.62, 2917
24.69, 101636.14, 0.25,-0.65, 9.64, 2922
24.69, 101636.14, 0.25,-0.67, 9.58, 2927
24.69, 101634.77, 0.25,-0.59, 9.67, 2932
24.69, 101634.77, 0.25,-0.52, 9.62, 2937
24.69, 101634.77, 0.29,-0.57, 9.62, 2942
24.69, 101634.77, 0.21,-0.56, 9.60, 2947
24.69, 101634.77, 0.25,-0.56, 9.66, 2952
24.69, 101634.77, 0.23,-0.50, 9.67, 2957
24.69, 101634.77, 0.31,-0.52, 9.69, 2962
24.69, 101634.77, 0.25,-0.57, 9.58, 2967
24.69, 101637.12, 0.19,-0.65, 9.62, 2972
24.69, 101637.12, 0.27,-0.63, 9.66, 2977
24.69, 101637.12, 0.19,-0.56, 9.54, 2982
24.69, 101637.12, 0.23,-0.65, 9.64, 2987
24.69, 101637.12, 0.17,-0.65, 9.52, 2992
24.69, 101637.12, 0.25,-0.59, 9.60, 2997
24.69, 101637.12, 0.27,-0.59, 9.64, 3002
24.69, 101634.44, 0.21,-0.54, 9.66, 3007
24.69, 101634.44, 0.15,-0.59, 9.64, 3012
24.69, 101634.44, 0.21,-0.54, 9.60, 3017
24.69, 101634.44, 0.29,-0.61, 9.66, 3022
24.69, 101634.44, 0.21,-0.61, 9.73, 3027
24.69, 101634.44, 0.25,-0.65, 9.67, 3032
24.69, 101634.44, 0.27,-0.59, 9.60, 3037
24.69, 101636.30, 0.29,-0.57, 9.52, 3042
24.69, 101636.30, 0.27,-0.57, 9.58, 3047
24.69, 101636.30, 0.27,-0.54, 9.56, 3052
24.69, 101636.30, 0.23,-0.54, 9.56, 3057
24.69, 101636.30, 0.21,-0.54, 9.60, 3062
24.69, 101636.30, 0.27,-0.56, 9.64, 3067
24.69, 101636.30, 0.25,-0.52, 9.71, 3072
24.69, 101635.26, 0.21,-0.48, 9.71, 3077
24.69, 101635.26, 0.17,-0.61, 9.52, 3082
24.69, 101635.26, 0.27,-0.63, 9.73, 3087
24.69, 101635.26, 0.27,-0.48, 9.52, 3092
24.69, 101635.26, 0.27,-0.65, 9.54, 3097
24.69, 101635.26, 0.21,-0.61, 9.50, 3102
24.69, 101635.26, 0.17,-0.52, 9.62, 3107
24.69, 101636.14, 0.25,-0.52, 9.62, 3112
24.69, 101636.14, 0.19,-0.56, 9.60, 3117
24.69, 101636.14, 0.19,-0.52, 9.67, 3122
24.69, 101636.14, 0.21,-0.50, 9.69, 3127
24.69, 101636.14, 0.25,-0.54, 9.67, 3132
24.69, 101636.14, 0.19,-0.54, 9.67, 3137
24.69, 101636.14, 0.15,-0.52, 9.66, 3142
24.69, 101635.48, 0.15,-0.57, 9.60, 3147
24.69, 101635.48, 0.21,-0.61, 9.54, 3152
24.69, 101635.48, 0.17,-0.59, 9.58, 3157
24.69, 101635.48, 0.19,-0.61, 9.60, 3162
24.69, 101635.48, 0.17,-0.56, 9.66, 3167
24.69, 101635.48, 0.25,-0.59, 9.66, 3172
24.69, 101635.48, 0.23,-0.57, 9.67, 3177
24.69, 101635.16, 0.27,-0.61, 9.62, 3182
24.69, 101635.16, 0.31,-0.63, 9.67, 3187
24.69, 101635.16, 0.19,-0.52, 9.79, 3192
24.69, 101635.16, 0.15,-0.52, 9.54, 3197
24.69, 101635.16, 0.17,-0.59, 9.29, 3202
24.69, 101635.16, 0.21,-0.67, 9.50, 3207
24.69, 101635.16, 0.23,-0.61, 9.56, 3212
24.69, 101636.08, 0.27,-0.57, 9.56, 3217
24.69, 101636.08, 0.25,-0.52, 9.56, 3222
24.69, 101636.08, 0.25,-0.56, 9.58, 3227
24.69, 101636.08, 0.29,-0.57, 9.60, 3232
24.69, 101636.08, 0.25,-0.57, 9.66, 3237
24.69, 101636.08, 0.29,-0.59, 9.71, 3242
24.69, 101636.08, 0.23,-0.52, 9.69, 3247
24.69, 101641.31, 0.23,-0.57, 9.64, 3252
24.69, 101641.31, 0.21,-0.56, 9.67, 3257
24.69, 101641.31, 0.19,-0.59, 9.60, 3262
24.69, 101641.31, 0.23,-0.57, 9.60, 3267
24.69, 101641.31, 0.25,-0.59, 9.66, 3272
24.69, 101641.31, 0.23,-0.59, 9.64, 3277
24.69, 101641.31, 0.23,-0.56, 9.71, 3282
24.69, 101639.17, 0.19,-0.56, 9.67, 3287
24.69, 101639.17, 0.17,-0.57, 9.64, 3292
24.69, 101639.17, 0.25,-0.54, 9.73, 3300
24.69, 101639.17, 0.25,-0.56, 9.69, 3304
24.69, 101639.17, 0.27,-0.50, 9.62, 3309
24.69, 101639.17, 0.17,-0.59, 9.60, 3314
24.69, 101639.17, 0.19,-0.63, 9.56, 3319
24.69, 101638.51, 0.17,-0.56, 9.66, 3324
24.69, 101638.51, 0.19,-0.54, 9.67, 3329
24.69, 101638.51, 0.25,-0.61, 9.67, 3334
24.69, 101638.51, 0.21,-0.63, 9.62, 3339
24.69, 101638.51, 0.25,-0.59, 9.67, 3344
24.69, 101638.51, 0.23,-0.52, 9.64, 3349
24.69, 101638.51, 0.29,-0.57, 9.64, 3354
24.69, 101638.22, 0.29,-0.56, 9.60, 3359
24.69, 101638.22, 0.25,-0.54, 9.62, 3364
24.69, 101638.22, 0.31,-0.52, 9.66, 3369
24.69, 101638.22, 0.23,-0.54, 9.67, 3374
24.69, 101638.22, 0.25,-0.56, 9.60, 3379
24.69, 101638.22, 0.11,-0.63, 9.56, 3384
24.69, 101638.22, 0.13,-0.50, 9.54, 3389
24.69, 101640.31, 0.23,-0.57, 9.62, 3394
24.69, 101640.31, 0.23,-0.59, 9.64, 3399
24.69, 101640.31, 0.21,-0.56, 9.58, 3404
24.69, 101640.31, 0.25,-0.56, 9.29, 3409
24.69, 101640.31, 0.27,-0.54, 9.52, 3414
24.69, 101640.31, 0.23,-0.59, 9.56, 3419
24.69, 101640.31, 0.21,-0.56, 9.54, 3424
24.69, 101637.68, 0.23,-0.56, 9.58, 3429
24.69, 101637.68, 0.29,-0.59, 9.66, 3434
24.69, 101637.68, 0.27,-0.54, 9.60, 3439
24.69, 101637.68, 0.19,-0.57, 9.58, 3444
24.69, 101637.68, 0.21,-0.54, 9.62, 3449
24.69, 101637.68, 0.25,-0.59, 9.64, 3454
24.69, 101637.68, 0.23,-0.54, 9.60, 3459
24.69, 101639.33, 0.23,-0.56, 9.60, 3464
24.69, 101639.33, 0.17,-0.48, 9.60, 3469
24.69, 101639.33, 0.21,-0.57, 9.64, 3474
24.69, 101639.33, 0.17,-0.56, 9.66, 3479
24.69, 101639.33, 0.21,-0.57, 9.67, 3484
24.69, 101639.33, 0.23,-0.57, 9.64, 3489
24.69, 101639.33, 0.23,-0.63, 9.52, 3494
24.69, 101639.33, 0.19,-0.67, 9.54, 3499
