External Temperature (C), Barometric Pressure (Pa), Acceleration X, Acceleration Y, Acceleration Z
25.23, 101661.72, 0.13,-0.52, 9.67, 37689
25.23, 101661.72, 0.10,-0.54, 9.62, 37701
25.23, 101661.72, 0.13,-0.48, 9.58, 37705
25.23, 101661.72, 0.10,-0.50, 9.62, 37710
25.23, 101662.14, 0.08,-0.48, 9.60, 37715
25.23, 101662.14, 0.10,-0.52, 9.60, 37720
25.23, 101662.14, 0.11,-0.54, 9.64, 37725
25.23, 101662.14, 0.06,-0.52, 9.60, 37730
25.23, 101662.14, 0.11,-0.52, 9.62, 37735
25.23, 101662.14, 0.08,-0.54, 9.62, 37740
25.23, 101662.14, 0.06,-0.56, 9.62, 37745
25.23, 101662.14, 0.08,-0.52, 9.64, 37750
25.23, 101662.62, 0.10,-0.46, 9.66, 37755
25.23, 101662.62, 0.10,-0.61, 9.67, 37760
25.23, 101662.62, 0.02,-0.61, 9.60, 37765
25.23, 101662.62, 0.10,-0.46, 9.48, 37770
25.23, 101662.62, 0.08,-0.46, 9.73, 37775
25.23, 101662.62, 0.10,-0.48, 9.50, 37780
25.23, 101662.62, 0.19,-0.42, 9.62, 37785
25.23, 101662.86, 0.11,-0.54, 9.66, 37790
25.23, 101662.86, 0.15,-0.61, 9.67, 37795
25.23, 101662.86, 0.10,-0.54, 9.62, 37800
25.23, 101662.86, 0.10,-0.50, 9.64, 37805
25.23, 101662.86, 0.15,-0.52, 9.67, 37810
25.23, 101662.86, 0.10,-0.52, 9.62, 37815
25.23, 101662.86, 0.10,-0.61, 9.64, 37820
25.23, 101663.02, 0.06,-0.56, 9.67, 37825
25.23, 101663.02, 0.06,-0.54, 9.56, 37830
25.23, 101663.02, 0.10,-0.56, 9.64, 37835
25.23, 101663.02, 0.06,-0.61, 9.67, 37840
25.23, 101663.02, 0.08,-0.54, 9.64, 37845
25.23, 101663.02, 0.11,-0.56, 9.62, 37850
25.23, 101663.02, 0.13,-0.57, 9.64, 37855
