External Temperature (C), Barometric Pressure (Pa), Acceleration X, Acceleration Y, Acceleration Z
25.09, 101646.38, 0.17,-0.57, 9.66, 734
25.09, 101645.72, 0.27,-0.57, 9.64, 745
25.09, 101645.72, 0.21,-0.61, 9.62, 749
25.09, 101645.72, 0.19,-0.57, 9.64, 754
25.09, 101645.72, 0.23,-0.54, 9.62, 759
25.09, 101645.72, 0.21,-0.56, 9.66, 764
25.09, 101645.72, 0.21,-0.57, 9.58, 769
25.09, 101645.72, 0.19,-0.57, 9.54, 774
25.09, 101644.78, 0.21,-0.61, 9.60, 779
25.09, 101644.78, 0.25,-0.52, 9.75, 784
25.09, 101644.78, 0.13,-0.57, 9.71, 789
25.09, 101644.78, 0.17,-0.59, 9.64, 794
25.09, 101644.78, 0.23,-0.59, 9.71, 799
25.09, 101644.78, 0.23,-0.61, 9.75, 804
25.09, 101644.78, 0.13,-0.59, 9.64, 809
25.09, 101645.89, 0.17,-0.57, 9.66, 814
25.09, 101645.89, 0.21,-0.54, 9.64, 819
25.09, 101645.89, 0.21,-0.56, 9.58, 824
25.09, 101645.89, 0.29,-0.54, 9.54, 829
25.09, 101645.89, 0.27,-0.59, 9.69, 834
25.09, 101645.89, 0.21,-0.59, 9.62, 839
25.09, 101645.89, 0.21,-0.57, 9.58, 844
25.09, 101641.87, 0.23,-0.65, 9.64, 849
25.09, 101641.87, 0.19,-0.67, 9.60, 854
25.09, 101641.87, 0.19,-0.56, 9.56, 859
25.09, 101641.87, 0.19,-0.57, 9.60, 864
25.09, 101641.87, 0.13,-0.54, 9.67, 869
25.09, 101641.87, 0.15,-0.63, 9.62, 874
25.09, 101641.87, 0.21,-0.65, 9.66, 879
25.09, 101641.54, 0.25,-0.59, 9.60, 884
25.09, 101641.54, 0.23,-0.48, 9.64, 889
25.09, 101641.54, 0.21,-0.54, 9.64, 894
25.09, 101641.54, 0.23,-0.57, 9.60, 899
25.09, 101641.54, 0.25,-0.52, 9.62, 904
25.09, 101641.54, 0.25,-0.56, 9.69, 909
25.09, 101641.54, 0.27,-0.61, 9.58, 914
25.09, 101643.84, 0.21,-0.54, 9.66, 919
25.09, 101642.97, 0.21,-0.50, 9.67, 924
25.09, 101642.97, 0.17,-0.54, 9.48, 929
25.09, 101642.97, 0.17,-0.52, 9.54, 934
25.09, 101642.97, 0.21,-0.59, 9.58, 939
25.09, 101642.97, 0.25,-0.61, 9.56, 944
25.09, 101642.97, 0.29,-0.59, 9.62, 949
25.09, 101642.97, 0.23,-0.56, 9.69, 954
25.09, 101644.51, 0.21,-0.50, 9.58, 959
25.09, 101644.51, 0.21,-0.54, 9.62, 964
25.09, 101644.51, 0.17,-0.56, 9.60, 969
25.09, 101644.51, 0.17,-0.59, 9.62, 974
25.09, 101644.51, 0.21,-0.61, 9.71, 979
25.09, 101644.51, 0.29,-0.61, 9.64, 984
25.09, 101644.51, 0.27,-0.59, 9.62, 989
25.09, 101642.14, 0.21,-0.59, 9.60, 994
25.09, 101642.14, 0.27,-0.59, 9.60, 999
25.09, 101642.14, 0.21,-0.52, 9.69, 1004
25.09, 101642.14, 0.29,-0.57, 9.67, 1009
25.09, 101642.14, 0.27,-0.56, 9.75, 1014
25.09, 101642.14, 0.27,-0.52, 9.77, 1019
25.09, 101642.14, 0.25,-0.56, 9.73, 1024
25.09, 101643.41, 0.23,-0.50, 9.79, 1029
25.09, 101643.41, 0.29,-0.57, 9.67, 1034
25.09, 101643.41, 0.25,-0.61, 9.83, 1039
25.09, 101643.41, 0.29,-0.57, 9.66, 1044
25.09, 101643.41, 0.25,-0.56, 9.77, 1049
25.09, 101643.41, 0.21,-0.56, 9.69, 1054
25.09, 101643.41, 0.27,-0.57, 9.58, 1059
25.09, 101644.08, 0.23,-0.52, 9.60, 1064
25.09, 101644.08, 0.25,-0.57, 9.64, 1069
25.09, 101644.08, 0.27,-0.59, 9.58, 1074
25.09, 101644.08, 0.23,-0.54, 9.48, 1079
25.09, 101644.08, 0.25,-0.61, 9.60, 1084
25.09, 101644.08, 0.25,-0.59, 9.60, 1089
25.09, 101644.08, 0.21,-0.57, 9.73, 1094
25.09, 101641.38, 0.29,-0.56, 9.66, 1099
25.09, 101641.38, 0.31,-0.57, 9.64, 1104
25.09, 101641.38, 0.33,-0.57, 9.58, 1109
25.09, 101641.38, 0.27,-0.61, 9.60, 1114
25.09, 101641.38, 0.25,-0.63, 9.58, 1119
25.09, 101641.38, 0.29,-0.59, 9.60, 1124
25.09, 101641.38, 0.21,-0.59, 9.67, 1129
25.09, 101642.97, 0.21,-0.61, 9.60, 1134
25.09, 101642.97, 0.15,-0.57, 9.64, 1139
25.09, 101642.97, 0.25,-0.57, 9.54, 1144
25.09, 101642.97, 0.21,-0.59, 9.66, 1149
25.09, 101642.97, 0.25,-0.44, 9.50, 1154
25.09, 101642.97, 0.27,-0.52, 9.54, 1159
25.09, 101642.97, 0.25,-0.59, 9.58, 1164
25.09, 101642.74, 0.23,-0.59, 9.69, 1169
25.09, 101642.74, 0.27,-0.63, 9.79, 1174
25.09, 101642.74, 0.27,-0.59, 9.71, 1179
25.09, 101642.74, 0.27,-0.56, 9.64, 1184
25.09, 101642.74, 0.27,-0.59, 9.66, 1189
25.09, 101642.74, 0.25,-0.57, 9.66, 1194
25.09, 101642.74, 0.23,-0.52, 9.62, 1199
25.09, 101643.52, 0.21,-0.52, 9.62, 1204
25.09, 101643.52, 0.27,-0.52, 9.58, 1209
25.09, 101643.52, 0.29,-0.52, 9.58, 1214
25.09, 101643.52, 0.27,-0.48, 9.64, 1219
25.09, 101643.52, 0.27,-0.56, 9.67, 1224
25.09, 101643.52, 0.23,-0.56, 9.67, 1229
25.09, 101643.52, 0.23,-0.59, 9.62, 1234
25.09, 101645.23, 0.19,-0.59, 9.67, 1239
25.09, 101645.23, 0.25,-0.56, 9.60, 1247
25.09, 101645.23, 0.29,-0.56, 9.43, 1251
25.09, 101645.23, 0.27,-0.50, 9.60, 1256
25.09, 101645.23, 0.23,-0.56, 9.48, 1261
25.09, 101645.23, 0.23,-0.46, 9.67, 1266
25.09, 101645.23, 0.19,-0.52, 9.62, 1271
25.09, 101643.69, 0.15,-0.56, 9.62, 1276
25.09, 101643.69, 0.21,-0.59, 9.60, 1281
25.09, 101643.69, 0.27,-0.61, 9.67, 1286
25.09, 101643.69, 0.25,-0.61, 9.64, 1291
25.09, 101643.69, 0.17,-0.50, 9.67, 1296
25.09, 101643.69, 0.23,-0.63, 9.66, 1301
25.09, 101643.69, 0.19,-0.59, 9.62, 1306
25.09, 101646.38, 0.19,-0.52, 9.60, 1311
25.09, 101646.38, 0.25,-0.57, 9.66, 1316
25.09, 101646.38, 0.11,-0.61, 9.60, 1321
25.09, 101646.38, 0.13,-0.61, 9.67, 1326
25.09, 101646.38, 0.21,-0.46, 9.64, 1331
25.09, 101646.38, 0.21,-0.50, 9.60, 1336
25.09, 101646.38, 0.31,-0.54, 9.62, 1341
25.09, 101644.56, 0.25,-0.61, 9.69, 1346
25.09, 101644.56, 0.25,-0.56, 9.67, 1351
25.09, 101644.56, 0.25,-0.63, 9.64, 1356
25.09, 101644.56, 0.19,-0.57, 9.67, 1361
25.09, 101644.56, 0.31,-0.56, 9.58, 1366
25.09, 101644.56, 0.29,-0.59, 9.67, 1371
