External Temperature (C), Barometric Pressure (Pa), Acceleration X, Acceleration Y, Acceleration Z
25.23, 101653.36, 0.23,-0.56, 9.60, 2367
25.23, 101653.36, 0.27,-0.59, 9.67, 2379
25.23, 101653.36, 0.27,-0.52, 9.60, 2383
25.23, 101653.36, 0.15,-0.44, 9.60, 2388
25.23, 101653.36, 0.23,-0.46, 9.56, 2393
25.23, 101653.36, 0.29,-0.40, 9.67, 2398
25.23, 101652.64, 0.23,-0.56, 9.62, 2403
25.23, 101652.64, 0.25,-0.50, 9.62, 2408
25.23, 101652.64, 0.31,-0.59, 9.69, 2413
25.23, 101652.64, 0.29,-0.59, 9.50, 2418
25.23, 101652.64, 0.21,-0.54, 9.71, 2423
25.23, 101652.64, 0.29,-0.52, 9.67, 2428
25.23, 101652.64, 0.21,-0.42, 9.69, 2433
25.23, 101652.64, 0.33,-0.57, 9.62, 2438
25.23, 101652.64, 0.25,-0.56, 9.64, 2443
25.23, 101652.64, 0.29,-0.57, 9.69, 2448
25.23, 101652.64, 0.36,-0.61, 9.62, 2453
25.23, 101652.64, 0.27,-0.61, 9.62, 2458
25.23, 101652.64, 0.27,-0.57, 9.60, 2463
25.23, 101652.64, 0.23,-0.52, 9.66, 2468
25.23, 101651.05, 0.23,-0.59, 9.67, 2473
25.23, 101651.05, 0.21,-0.57, 9.71, 2478
25.23, 101651.05, 0.21,-0.59, 9.66, 2483
25.23, 101651.05, 0.19,-0.52, 9.66, 2488
25.23, 101651.05, 0.23,-0.50, 9.64, 2493
25.23, 101651.05, 0.17,-0.48, 9.69, 2498
25.23, 101651.05, 0.23,-0.48, 9.60, 2503
25.23, 101653.52, 0.31,-0.48, 9.66, 2508
25.23, 101653.52, 0.23,-0.59, 9.56, 2513
25.23, 101653.52, 0.25,-0.56, 9.66, 2518
25.23, 101653.52, 0.19,-0.63, 9.58, 2523
25.23, 101653.52, 0.25,-0.57, 9.50, 2528
25.23, 101653.52, 0.23,-0.56, 9.52, 2533
25.23, 101653.52, 0.29,-0.54, 9.56, 2538
25.23, 101652.70, 0.23,-0.54, 9.62, 2543
25.23, 101652.70, 0.27,-0.57, 9.64, 2548
25.23, 101652.70, 0.21,-0.59, 9.58, 2553
25.23, 101652.70, 0.29,-0.52, 9.54, 2558
25.23, 101652.70, 0.25,-0.54, 9.64, 2563
25.23, 101652.70, 0.23,-0.54, 9.60, 2568
25.23, 101652.70, 0.23,-0.57, 9.66, 2573
25.23, 101652.70, 0.25,-0.57, 9.69, 2578
25.23, 101653.36, 0.27,-0.59, 9.67, 2583
25.23, 101653.36, 0.25,-0.54, 9.66, 2588
25.23, 101653.36, 0.29,-0.52, 9.56, 2593
25.23, 101653.36, 0.25,-0.52, 9.62, 2598
25.23, 101653.36, 0.25,-0.54, 9.66, 2603
25.23, 101653.36, 0.25,-0.54, 9.62, 2608
25.23, 101653.36, 0.25,-0.59, 9.64, 2613
25.23, 101650.94, 0.21,-0.50, 9.56, 2618
25.23, 101650.94, 0.13,-0.59, 9.58, 2623
25.23, 101650.94, 0.15,-0.52, 9.50, 2628
25.23, 101650.94, 0.23,-0.54, 9.46, 2633
25.23, 101650.94, 0.23,-0.59, 9.52, 2638
25.23, 101650.94, 0.34,-0.48, 9.67, 2643
25.23, 101650.94, 0.19,-0.56, 9.62, 2648
25.23, 101652.92, 0.21,-0.56, 9.62, 2653
25.23, 101652.92, 0.25,-0.52, 9.62, 2658
25.23, 101652.92, 0.29,-0.56, 9.56, 2663
25.23, 101652.92, 0.17,-0.52, 9.58, 2668
25.23, 101652.92, 0.23,-0.56, 9.62, 2673
25.23, 101652.92, 0.25,-0.57, 9.66, 2678
25.23, 101652.92, 0.21,-0.57, 9.69, 2683
25.23, 101652.43, 0.23,-0.56, 9.56, 2688
25.23, 101652.43, 0.23,-0.56, 9.62, 2693
25.23, 101652.43, 0.27,-0.59, 9.66, 2698
