External Temperature (C), Barometric Pressure (Pa), Acceleration X, Acceleration Y, Acceleration Z
25.06, 101639.58, 0.25,-0.59, 9.62, 737
25.06, 101639.58, 0.23,-0.54, 9.64, 747
25.06, 101638.66, 0.19,-0.54, 9.75, 752
25.06, 101638.66, 0.21,-0.56, 9.58, 757
25.06, 101638.66, 0.17,-0.61, 9.56, 762
25.06, 101638.66, 0.21,-0.57, 9.62, 767
25.06, 101638.66, 0.17,-0.57, 9.67, 772
25.06, 101638.66, 0.23,-0.56, 9.64, 777
25.06, 101638.66, 0.15,-0.56, 9.66, 782
25.06, 101642.05, 0.17,-0.56, 9.62, 787
25.06, 101642.05, 0.27,-0.54, 9.58, 792
25.06, 101642.05, 0.27,-0.56, 9.60, 797
25.06, 101642.05, 0.21,-0.57, 9.66, 802
25.06, 101642.05, 0.23,-0.57, 9.48, 807
25.06, 101642.05, 0.29,-0.46, 9.60, 812
25.06, 101642.05, 0.25,-0.59, 9.66, 817
25.06, 101641.38, 0.27,-0.59, 9.60, 822
25.06, 101641.38, 0.21,-0.61, 9.75, 827
25.06, 101641.38, 0.19,-0.59, 9.71, 832
25.06, 101641.38, 0.21,-0.61, 9.81, 837
25.06, 101641.38, 0.17,-0.56, 9.69, 842
25.06, 101641.38, 0.27,-0.54, 9.66, 847
25.06, 101641.38, 0.23,-0.56, 9.56, 852
25.06, 101642.88, 0.23,-0.54, 9.64, 857
25.06, 101642.88, 0.29,-0.63, 9.64, 862
25.06, 101642.88, 0.17,-0.57, 9.60, 867
25.06, 101642.88, 0.23,-0.57, 9.60, 872
25.06, 101642.88, 0.15,-0.50, 9.60, 877
25.06, 101642.88, 0.19,-0.54, 9.67, 882
25.06, 101642.88, 0.19,-0.56, 9.67, 887
25.06, 101641.72, 0.21,-0.50, 9.67, 892
25.06, 101641.72, 0.19,-0.52, 9.67, 897
25.06, 101641.72, 0.23,-0.52, 9.66, 902
25.06, 101641.72, 0.23,-0.50, 9.60, 907
25.06, 101641.72, 0.21,-0.52, 9.62, 912
25.06, 101641.72, 0.36,-0.48, 9.66, 917
25.06, 101641.72, 0.33,-0.59, 9.77, 922
25.06, 101641.62, 0.29,-0.56, 9.81, 927
25.06, 101641.62, 0.29,-0.67, 9.62, 932
25.06, 101641.62, 0.21,-0.61, 9.56, 937
25.06, 101641.62, 0.17,-0.59, 9.48, 942
25.06, 101641.62, 0.33,-0.52, 9.58, 947
25.06, 101641.62, 0.25,-0.56, 9.73, 952
25.06, 101641.62, 0.31,-0.56, 9.69, 957
25.06, 101641.62, 0.31,-0.54, 9.60, 962
25.06, 101642.27, 0.31,-0.57, 9.58, 967
25.06, 101642.27, 0.25,-0.59, 9.56, 972
25.06, 101642.27, 0.29,-0.56, 9.54, 977
25.06, 101642.27, 0.31,-0.52, 9.62, 982
25.06, 101642.27, 0.27,-0.52, 9.58, 987
25.06, 101642.27, 0.29,-0.52, 9.64, 992
25.06, 101642.27, 0.34,-0.50, 9.66, 997
25.06, 101642.55, 0.25,-0.54, 9.60, 1002
25.06, 101642.55, 0.19,-0.57, 9.64, 1007
25.06, 101642.55, 0.25,-0.57, 9.60, 1012
25.06, 101642.55, 0.17,-0.56, 9.62, 1017
25.06, 101642.55, 0.17,-0.57, 9.64, 1022
25.06, 101642.55, 0.17,-0.54, 9.56, 1027
25.06, 101642.55, 0.19,-0.56, 9.58, 1032
25.06, 101641.38, 0.15,-0.57, 9.50, 1037
25.06, 101641.38, 0.17,-0.50, 9.66, 1042
25.06, 101641.38, 0.17,-0.52, 9.73, 1047
25.06, 101641.38, 0.23,-0.54, 9.60, 1052
