External Temperature (C), Barometric Pressure (Pa), Acceleration X, Acceleration Y, Acceleration Z
24.92, 101643.08, 0.21,-0.59, 9.69, 2506
24.92, 101643.08, 0.23,-0.52, 9.56, 2518
24.92, 101640.71, 0.23,-0.54, 9.56, 2522
24.92, 101640.71, 0.27,-0.57, 9.64, 2527
24.92, 101640.71, 0.33,-0.56, 9.64, 2532
24.92, 101640.71, 0.23,-0.63, 9.64, 2537
24.92, 101640.71, 0.27,-0.59, 9.56, 2542
24.92, 101640.71, 0.29,-0.63, 9.50, 2547
24.92, 101640.71, 0.31,-0.48, 9.60, 2552
24.92, 101641.92, 0.33,-0.48, 9.48, 2557
24.92, 101641.92, 0.31,-0.65, 9.46, 2562
24.92, 101641.92, 0.31,-0.57, 9.69, 2567
24.92, 101641.92, 0.33,-0.54, 9.67, 2572
24.92, 101641.92, 0.36,-0.57, 9.56, 2577
24.92, 101641.92, 0.33,-0.61, 9.62, 2582
24.92, 101641.92, 0.31,-0.48, 9.62, 2587
24.92, 101641.92, 0.27,-0.54, 9.56, 2592
24.92, 101640.33, 0.27,-0.56, 9.60, 2597
24.92, 101640.33, 0.29,-0.57, 9.60, 2602
24.92, 101640.33, 0.29,-0.63, 9.77, 2607
24.92, 101640.33, 0.23,-0.61, 9.66, 2612
24.92, 101640.33, 0.17,-0.52, 9.67, 2617
24.92, 101640.33, 0.17,-0.59, 9.66, 2622
24.92, 101640.33, 0.19,-0.56, 9.71, 2627
24.92, 101641.92, 0.19,-0.56, 9.73, 2632
24.92, 101641.92, 0.13,-0.54, 9.66, 2637
24.92, 101641.92, 0.13,-0.59, 9.64, 2642
24.92, 101641.92, 0.15,-0.54, 9.52, 2647
24.92, 101641.92, 0.13,-0.56, 9.62, 2652
24.92, 101641.92, 0.17,-0.48, 9.62, 2657
24.92, 101641.92, 0.21,-0.59, 9.62, 2662
24.92, 101643.74, 0.19,-0.59, 9.45, 2667
24.92, 101643.74, 0.25,-0.57, 9.58, 2672
24.92, 101643.74, 0.25,-0.61, 9.69, 2677
24.92, 101643.74, 0.27,-0.59, 9.58, 2682
24.92, 101643.74, 0.27,-0.54, 9.62, 2687
24.92, 101643.74, 0.21,-0.50, 9.52, 2692
24.92, 101643.74, 0.27,-0.54, 9.64, 2697
24.92, 101640.38, 0.29,-0.54, 9.62, 2702
24.92, 101640.38, 0.23,-0.54, 9.56, 2707
24.92, 101640.38, 0.23,-0.57, 9.60, 2712
24.92, 101640.38, 0.19,-0.56, 9.62, 2717
24.92, 101640.38, 0.21,-0.50, 9.64, 2722
24.92, 101640.38, 0.21,-0.52, 9.64, 2727
24.92, 101640.38, 0.23,-0.59, 9.69, 2732
