External Temperature (C), Barometric Pressure (Pa), Acceleration X, Acceleration Y, Acceleration Z
25.09, 101657.75, 0.15,-0.50, 9.64, 7402
25.09, 101657.75, 0.17,-0.57, 9.66, 7407
25.09, 101657.75, 0.25,-0.57, 9.62, 7412
25.09, 101657.75, 0.15,-0.57, 9.66, 7417
25.09, 101657.75, 0.21,-0.56, 9.62, 7422
25.09, 101658.34, 0.17,-0.57, 9.46, 7427
25.09, 101658.34, 0.19,-0.57, 9.62, 7432
25.09, 101658.34, 0.19,-0.56, 9.71, 7437
25.09, 101658.34, 0.31,-0.54, 9.41, 7442
25.09, 101658.34, 0.31,-0.48, 9.62, 7447
25.09, 101658.34, 0.27,-0.57, 9.64, 7452
25.09, 101658.34, 0.21,-0.59, 9.64, 7457
25.09, 101657.57, 0.33,-0.63, 9.73, 7462
25.09, 101657.57, 0.25,-0.56, 9.77, 7467
25.09, 101657.57, 0.13,-0.57, 9.75, 7472
25.09, 101657.57, 0.17,-0.56, 9.69, 7477
25.09, 101657.57, 0.15,-0.50, 9.66, 7482
25.09, 101657.57, 0.23,-0.57, 9.60, 7487
25.09, 101657.57, 0.25,-0.56, 9.58, 7492
25.09, 101656.85, 0.25,-0.61, 9.60, 7497
25.09, 101656.85, 0.25,-0.56, 9.66, 7502
25.09, 101656.85, 0.25,-0.59, 9.67, 7507
25.09, 101656.85, 0.27,-0.57, 9.62, 7512
25.09, 101656.85, 0.23,-0.61, 9.64, 7517
25.09, 101656.85, 0.29,-0.63, 9.62, 7522
25.09, 101656.85, 0.23,-0.63, 9.75, 7527
25.09, 101654.28, 0.23,-0.61, 9.66, 7532
25.09, 101654.28, 0.29,-0.69, 9.58, 7537
25.09, 101654.28, 0.23,-0.46, 9.64, 7542
25.09, 101654.28, 0.21,-0.59, 9.66, 7547
25.09, 101654.28, 0.21,-0.50, 9.64, 7552
25.09, 101654.28, 0.25,-0.54, 9.69, 7557
25.09, 101654.28, 0.17,-0.57, 9.62, 7562
25.09, 101655.92, 0.23,-0.57, 9.69, 7567
25.09, 101655.92, 0.27,-0.57, 9.54, 7572
25.09, 101655.92, 0.27,-0.56, 9.56, 7577
25.09, 101655.92, 0.23,-0.52, 9.67, 7582
25.09, 101655.92, 0.13,-0.52, 9.67, 7587
25.09, 101655.92, 0.17,-0.40, 9.66, 7592
25.09, 101655.92, 0.27,-0.50, 9.58, 7597
25.09, 101656.58, 0.21,-0.54, 9.62, 7602
25.09, 101656.58, 0.21,-0.54, 9.67, 7607
25.09, 101656.58, 0.21,-0.54, 9.60, 7612
25.09, 101656.58, 0.21,-0.57, 9.69, 7617
25.09, 101656.58, 0.25,-0.59, 9.62, 7622
25.09, 101656.58, 0.25,-0.63, 9.73, 7627
25.09, 101656.58, 0.25,-0.61, 9.66, 7632
25.09, 101656.97, 0.21,-0.52, 9.62, 7637
25.09, 101656.97, 0.29,-0.56, 9.58, 7642
25.09, 101656.97, 0.31,-0.61, 9.54, 7647
25.09, 101656.97, 0.21,-0.56, 9.45, 7652
25.09, 101656.97, 0.23,-0.59, 9.60, 7657
25.09, 101656.97, 0.25,-0.56, 9.60, 7662
25.09, 101656.97, 0.27,-0.65, 9.73, 7667
25.09, 101657.73, 0.29,-0.65, 9.50, 7672
25.09, 101657.73, 0.25,-0.59, 9.66, 7677
25.09, 101657.73, 0.23,-0.50, 9.67, 7682
25.09, 101657.73, 0.17,-0.54, 9.69, 7687
25.09, 101657.73, 0.23,-0.56, 9.62, 7692
25.09, 101657.73, 0.23,-0.54, 9.66, 7697
25.09, 101657.73, 0.25,-0.56, 9.58, 7702
25.09, 101657.73, 0.19,-0.56, 9.58, 7707
25.09, 101656.74, 0.17,-0.50, 9.60, 7712
25.09, 101656.74, 0.23,-0.56, 9.66, 7717
25.09, 101656.74, 0.23,-0.61, 9.67, 7722
25.09, 101656.74, 0.21,-0.59, 9.66, 7727
25.09, 101656.74, 0.19,-0.56, 9.67, 7732
25.09, 101656.74, 0.25,-0.56, 9.64, 7737
25.09, 101656.74, 0.25,-0.50, 9.62, 7742
25.09, 101658.02, 0.27,-0.57, 9.62, 7747
25.09, 101658.02, 0.21,-0.50, 9.62, 7752
25.09, 101658.02, 0.23,-0.54, 9.67, 7757
25.09, 101658.02, 0.21,-0.57, 9.66, 7762
25.09, 101658.02, 0.21,-0.56, 9.58, 7767
25.09, 101658.02, 0.19,-0.48, 9.62, 7772
25.09, 101658.02, 0.27,-0.59, 9.56, 7777
25.09, 101655.70, 0.27,-0.57, 9.58, 7782
25.09, 101655.70, 0.27,-0.52, 9.54, 7787
25.09, 101655.70, 0.21,-0.48, 9.60, 7792
25.09, 101655.70, 0.31,-0.48, 9.64, 7797
25.09, 101655.70, 0.25,-0.52, 9.52, 7802
25.09, 101655.70, 0.21,-0.52, 9.67, 7807
25.09, 101655.70, 0.29,-0.56, 9.69, 7812
25.09, 101659.61, 0.23,-0.54, 9.56, 7817
25.09, 101659.61, 0.25,-0.50, 9.60, 7822
25.09, 101659.61, 0.23,-0.52, 9.66, 7827
25.09, 101659.61, 0.15,-0.52, 9.62, 7832
25.09, 101659.61, 0.23,-0.48, 9.62, 7837
25.09, 101659.61, 0.19,-0.50, 9.64, 7842
25.09, 101659.61, 0.21,-0.54, 9.67, 7847
25.09, 101658.34, 0.23,-0.57, 9.66, 7852
25.09, 101658.34, 0.17,-0.57, 9.56, 7857
25.09, 101658.34, 0.15,-0.56, 9.60, 7862
25.09, 101658.34, 0.23,-0.52, 9.64, 7870
25.09, 101658.34, 0.25,-0.56, 9.62, 7874
25.09, 101658.34, 0.23,-0.50, 9.66, 7879
25.09, 101658.34, 0.21,-0.59, 9.56, 7884
25.09, 101657.57, 0.29,-0.52, 9.60, 7889
25.09, 101657.57, 0.23,-0.54, 9.62, 7894
25.09, 101657.57, 0.27,-0.59, 9.66, 7899
25.09, 101657.57, 0.21,-0.59, 9.60, 7904
25.09, 101657.57, 0.19,-0.57, 9.62, 7909
25.09, 101657.57, 0.15,-0.57, 9.71, 7914
25.09, 101657.57, 0.13,-0.57, 9.62, 7919
25.09, 101658.06, 0.21,-0.52, 9.62, 7924
25.09, 101658.06, 0.21,-0.56, 9.60, 7929
25.09, 101658.06, 0.27,-0.56, 9.62, 7934
25.09, 101658.06, 0.21,-0.56, 9.66, 7939
25.09, 101658.06, 0.23,-0.52, 9.64, 7944
25.09, 101658.06, 0.25,-0.56, 9.66, 7949
25.09, 101658.06, 0.23,-0.59, 9.64, 7954
25.09, 101657.23, 0.27,-0.57, 9.64, 7959
25.09, 101657.23, 0.23,-0.57, 9.71, 7964
25.09, 101657.23, 0.19,-0.61, 9.60, 7969
25.09, 101657.23, 0.19,-0.56, 9.58, 7974
25.09, 101657.23, 0.21,-0.56, 9.69, 7979
25.09, 101657.23, 0.23,-0.61, 9.66, 7984
25.09, 101657.23, 0.23,-0.63, 9.77, 7989
25.09, 101657.95, 0.21,-0.57, 9.69, 7994
25.09, 101657.95, 0.17,-0.56, 9.62, 7999
25.09, 101657.95, 0.21,-0.59, 9.48, 8004
25.09, 101657.95, 0.21,-0.54, 9.58, 8009
25.09, 101657.95, 0.13,-0.52, 9.66, 8014
25.09, 101657.95, 0.15,-0.54, 9.66, 8019
25.09, 101657.95, 0.21,-0.57, 9.73, 8024
25.09, 101656.31, 0.27,-0.50, 9.67, 8029
25.09, 101656.31, 0.23,-0.57, 9.69, 8034
25.09, 101656.31, 0.19,-0.61, 9.62, 8039
25.09, 101656.31, 0.21,-0.57, 9.67, 8044
25.09, 101656.31, 0.21,-0.59, 9.67, 8049
25.09, 101656.31, 0.29,-0.61, 9.62, 8054
25.09, 101656.31, 0.31,-0.57, 9.58, 8059
25.09, 101657.46, 0.27,-0.63, 9.62, 8064
25.09, 101657.46, 0.25,-0.61, 9.64, 8069
25.09, 101657.46, 0.23,-0.61, 9.64, 8074
25.09, 101657.46, 0.21,-0.61, 9.56, 8079
25.09, 101657.46, 0.23,-0.61, 9.64, 8084
25.09, 101657.46, 0.25,-0.52, 9.58, 8089
25.09, 101657.46, 0.23,-0.44, 9.64, 8094
25.09, 101656.74, 0.19,-0.48, 9.67, 8099
25.09, 101656.74, 0.25,-0.59, 9.75, 8104
25.09, 101656.74, 0.19,-0.67, 9.81, 8109
25.09, 101656.74, 0.27,-0.59, 9.67, 8114
25.09, 101656.74, 0.17,-0.61, 9.73, 8119
25.09, 101656.74, 0.21,-0.61, 9.73, 8124
25.09, 101656.74, 0.08,-0.57, 9.69, 8129
25.09, 101657.57, 0.19,-0.54, 9.66, 8134
25.09, 101657.57, 0.25,-0.59, 9.69, 8139
25.09, 101657.57, 0.27,-0.61, 9.56, 8144
25.09, 101657.57, 0.25,-0.57, 9.52, 8149
25.09, 101657.57, 0.25,-0.59, 9.54, 8154
25.09, 101657.57, 0.19,-0.57, 9.67, 8159
25.09, 101657.57, 0.29,-0.54, 9.67, 8164
25.09, 101654.77, 0.23,-0.57, 9.66, 8169
25.09, 101654.77, 0.33,-0.57, 9.62, 8174
25.09, 101654.77, 0.29,-0.52, 9.62, 8179
