External Temperature (C), Barometric Pressure (Pa), Acceleration X, Acceleration Y, Acceleration Z
24.75, 101641.00, 0.23,-0.56, 9.60, 5088
24.75, 101641.00, 0.23,-0.56, 9.60, 5100
24.75, 101641.00, 0.27,-0.50, 9.64, 5104
24.75, 101641.00, 0.19,-0.59, 9.75, 5109
24.75, 101641.00, 0.25,-0.59, 9.75, 5114
24.75, 101641.00, 0.23,-0.56, 9.73, 5119
24.75, 101638.52, 0.23,-0.54, 9.75, 5124
24.75, 101638.52, 0.15,-0.56, 9.69, 5129
24.75, 101638.52, 0.19,-0.54, 9.62, 5134
24.75, 101638.52, 0.17,-0.59, 9.58, 5139
24.75, 101638.52, 0.21,-0.57, 9.67, 5144
24.75, 101638.52, 0.23,-0.52, 9.62, 5149
24.75, 101638.52, 0.19,-0.54, 9.60, 5154
24.75, 101638.14, 0.21,-0.61, 9.67, 5159
24.75, 101638.14, 0.25,-0.56, 9.64, 5164
24.75, 101638.14, 0.25,-0.54, 9.66, 5169
24.75, 101638.14, 0.31,-0.61, 9.58, 5174
24.75, 101638.14, 0.13,-0.54, 9.43, 5179
24.75, 101638.14, 0.23,-0.59, 9.73, 5184
24.75, 101638.14, 0.21,-0.50, 9.73, 5189
24.75, 101640.66, 0.23,-0.50, 9.60, 5194
24.75, 101640.66, 0.19,-0.54, 9.73, 5199
24.75, 101640.66, 0.27,-0.65, 9.67, 5204
24.75, 101640.66, 0.29,-0.59, 9.62, 5209
24.75, 101640.66, 0.29,-0.56, 9.69, 5214
24.75, 101640.66, 0.25,-0.59, 9.64, 5219
24.75, 101640.66, 0.25,-0.54, 9.58, 5224
24.75, 101640.17, 0.21,-0.50, 9.66, 5229
24.75, 101640.17, 0.29,-0.54, 9.58, 5234
24.75, 101640.17, 0.25,-0.61, 9.60, 5239
24.75, 101640.17, 0.27,-0.59, 9.58, 5244
24.75, 101640.17, 0.19,-0.56, 9.64, 5249
24.75, 101640.17, 0.13,-0.52, 9.62, 5254
24.75, 101640.17, 0.23,-0.63, 9.64, 5259
24.75, 101639.84, 0.19,-0.56, 9.66, 5264
24.75, 101639.84, 0.21,-0.57, 9.58, 5269
24.75, 101639.84, 0.25,-0.56, 9.54, 5274
24.75, 101639.84, 0.15,-0.56, 9.62, 5279
24.75, 101639.84, 0.27,-0.54, 9.56, 5284
24.75, 101639.84, 0.23,-0.54, 9.62, 5289
24.75, 101639.84, 0.21,-0.57, 9.50, 5294
24.75, 101640.40, 0.25,-0.56, 9.50, 5299
24.75, 101640.40, 0.19,-0.61, 9.62, 5304
24.75, 101640.40, 0.23,-0.59, 9.58, 5309
24.75, 101640.40, 0.21,-0.59, 9.66, 5314
24.75, 101640.40, 0.27,-0.57, 9.64, 5319
24.75, 101640.40, 0.27,-0.56, 9.54, 5324
24.75, 101640.40, 0.19,-0.59, 9.56, 5329
24.75, 101640.66, 0.23,-0.61, 9.64, 5334
24.75, 101640.66, 0.19,-0.57, 9.58, 5339
24.75, 101640.66, 0.19,-0.48, 9.66, 5344
24.75, 101640.66, 0.25,-0.57, 9.60, 5349
24.75, 101640.66, 0.23,-0.56, 9.58, 5354
24.75, 101640.66, 0.31,-0.54, 9.62, 5359
24.75, 101640.66, 0.21,-0.52, 9.60, 5364
24.75, 101640.82, 0.19,-0.56, 9.62, 5369
24.75, 101640.82, 0.15,-0.59, 9.60, 5374
24.75, 101640.82, 0.19,-0.57, 9.62, 5379
24.75, 101640.82, 0.19,-0.59, 9.60, 5384
24.75, 101640.82, 0.23,-0.54, 9.64, 5389
24.75, 101640.82, 0.25,-0.59, 9.66, 5394
24.75, 101640.82, 0.27,-0.63, 9.52, 5399
24.75, 101638.36, 0.25,-0.57, 9.52, 5404
24.75, 101638.36, 0.25,-0.56, 9.71, 5409
24.75, 101638.36, 0.25,-0.59, 9.66, 5414
24.75, 101638.36, 0.23,-0.59, 9.56, 5419
24.75, 101638.36, 0.29,-0.65, 9.69, 5424
24.75, 101638.36, 0.23,-0.56, 9.62, 5429
24.75, 101638.36, 0.25,-0.57, 9.58, 5434
24.75, 101638.36, 0.27,-0.57, 9.54, 5439
24.75, 101639.99, 0.27,-0.57, 9.56, 5444
24.75, 101639.99, 0.29,-0.57, 9.62, 5449
24.75, 101639.99, 0.25,-0.65, 9.64, 5454
24.75, 101639.99, 0.27,-0.57, 9.66, 5459
24.75, 101639.99, 0.29,-0.61, 9.62, 5464
24.75, 101639.99, 0.27,-0.59, 9.56, 5469
24.75, 101639.99, 0.21,-0.61, 9.62, 5474
24.75, 101639.01, 0.17,-0.52, 9.62, 5479
24.75, 101639.01, 0.15,-0.54, 9.66, 5484
24.75, 101639.01, 0.15,-0.57, 9.60, 5489
24.75, 101639.01, 0.15,-0.52, 9.67, 5494
24.75, 101639.01, 0.23,-0.48, 9.73, 5499
24.75, 101639.01, 0.27,-0.52, 9.67, 5504
24.75, 101639.01, 0.21,-0.50, 9.60, 5509
24.75, 101639.50, 0.25,-0.44, 9.60, 5514
24.75, 101639.50, 0.23,-0.52, 9.81, 5519
24.75, 101639.50, 0.21,-0.52, 9.67, 5524
24.75, 101639.50, 0.15,-0.57, 9.52, 5529
24.75, 101639.50, 0.19,-0.56, 9.73, 5534
24.75, 101639.50, 0.17,-0.67, 9.33, 5539
24.75, 101639.50, 0.23,-0.56, 9.52, 5544
24.75, 101638.67, 0.23,-0.63, 9.60, 5549
24.75, 101638.67, 0.21,-0.67, 9.67, 5554
24.75, 101638.67, 0.15,-0.61, 9.62, 5559
24.75, 101638.67, 0.23,-0.57, 9.62, 5564
24.75, 101638.67, 0.23,-0.54, 9.52, 5569
24.75, 101638.67, 0.21,-0.54, 9.66, 5574
24.75, 101638.67, 0.21,-0.63, 9.66, 5579
24.75, 101638.18, 0.21,-0.61, 9.66, 5584
24.75, 101638.18, 0.17,-0.59, 9.62, 5589
24.75, 101638.18, 0.23,-0.57, 9.62, 5594
24.75, 101638.18, 0.23,-0.54, 9.71, 5602
24.75, 101638.18, 0.21,-0.59, 9.60, 5606
24.75, 101638.18, 0.29,-0.59, 9.58, 5611
24.75, 101638.18, 0.27,-0.59, 9.64, 5616
24.75, 101639.99, 0.23,-0.52, 9.71, 5621
24.75, 101639.99, 0.29,-0.56, 9.50, 5626
24.75, 101639.99, 0.25,-0.59, 9.60, 5631
24.75, 101639.99, 0.23,-0.59, 9.66, 5636
24.75, 101639.99, 0.29,-0.59, 9.62, 5641
24.75, 101639.99, 0.29,-0.54, 9.66, 5646
24.75, 101639.99, 0.25,-0.52, 9.66, 5651
24.75, 101639.66, 0.23,-0.61, 9.58, 5656
24.75, 101639.66, 0.27,-0.57, 9.54, 5661
24.75, 101639.66, 0.23,-0.54, 9.60, 5666
24.75, 101639.66, 0.17,-0.61, 9.66, 5671
24.75, 101639.66, 0.21,-0.61, 9.60, 5676
24.75, 101639.66, 0.31,-0.50, 9.67, 5681
24.75, 101639.66, 0.23,-0.57, 9.66, 5686
24.75, 101639.33, 0.19,-0.59, 9.64, 5691
24.75, 101639.33, 0.21,-0.56, 9.62, 5696
24.75, 101639.33, 0.23,-0.57, 9.62, 5701
24.75, 101639.33, 0.29,-0.63, 9.62, 5706
24.75, 101639.33, 0.23,-0.63, 9.50, 5711
24.75, 101639.33, 0.27,-0.61, 9.83, 5716
24.75, 101639.33, 0.25,-0.61, 9.52, 5721
24.75, 101640.61, 0.29,-0.59, 9.56, 5726
24.75, 101640.61, 0.31,-0.63, 9.64, 5731
24.75, 101640.61, 0.27,-0.65, 9.58, 5736
24.75, 101640.61, 0.27,-0.56, 9.64, 5741
24.75, 101640.61, 0.29,-0.61, 9.67, 5746
24.75, 101640.61, 0.27,-0.67, 9.58, 5751
24.75, 101640.61, 0.29,-0.59, 9.62, 5756
24.75, 101638.42, 0.31,-0.59, 9.58, 5761
24.75, 101638.42, 0.19,-0.57, 9.58, 5766
