External Temperature (C), Barometric Pressure (Pa), Acceleration X, Acceleration Y, Acceleration Z
25.29, 101654.55, 0.23,-0.57, 9.66, 10388
25.29, 101654.55, 0.23,-0.59, 9.64, 10400
25.29, 101654.55, 0.19,-0.57, 9.62, 10404
25.29, 101655.09, 0.17,-0.59, 9.54, 10409
25.29, 101655.09, 0.19,-0.57, 9.62, 10414
25.29, 101655.09, 0.19,-0.59, 9.75, 10419
25.29, 101655.09, 0.21,-0.52, 9.66, 10424
25.29, 101655.09, 0.17,-0.48, 9.66, 10429
25.29, 101655.09, 0.25,-0.50, 9.62, 10434
25.29, 101655.09, 0.17,-0.50, 9.62, 10439
25.29, 101654.21, 0.21,-0.50, 9.64, 10444
25.29, 101654.21, 0.25,-0.56, 9.66, 10449
25.29, 101654.21, 0.21,-0.52, 9.62, 10454
25.29, 101654.21, 0.23,-0.52, 9.62, 10459
25.29, 101654.21, 0.23,-0.57, 9.66, 10464
25.29, 101654.21, 0.19,-0.57, 9.62, 10469
25.29, 101654.21, 0.27,-0.57, 9.66, 10474
25.29, 101651.80, 0.19,-0.57, 9.67, 10479
25.29, 101651.80, 0.23,-0.59, 9.67, 10484
25.29, 101651.80, 0.21,-0.59, 9.75, 10489
25.29, 101651.80, 0.19,-0.67, 9.75, 10494
25.29, 101651.80, 0.25,-0.61, 9.60, 10499
25.29, 101651.80, 0.29,-0.61, 9.60, 10504
25.29, 101651.80, 0.27,-0.59, 9.60, 10509
25.29, 101651.80, 0.19,-0.59, 9.75, 10514
25.29, 101655.27, 0.27,-0.59, 9.66, 10519
25.29, 101655.27, 0.19,-0.54, 9.52, 10524
25.29, 101655.27, 0.17,-0.52, 9.56, 10529
25.29, 101655.27, 0.21,-0.50, 9.56, 10534
25.29, 101655.27, 0.23,-0.52, 9.60, 10539
25.29, 101655.27, 0.21,-0.48, 9.66, 10544
25.29, 101655.27, 0.21,-0.56, 9.69, 10549
25.29, 101653.88, 0.21,-0.59, 9.67, 10554
25.29, 101653.88, 0.23,-0.57, 9.58, 10559
25.29, 101653.88, 0.25,-0.56, 9.64, 10564
25.29, 101653.88, 0.23,-0.59, 9.62, 10569
25.29, 101653.88, 0.25,-0.57, 9.62, 10574
25.29, 101653.88, 0.25,-0.57, 9.58, 10579
25.29, 101653.88, 0.25,-0.57, 9.62, 10584
25.29, 101654.44, 0.27,-0.52, 9.62, 10589
25.29, 101654.44, 0.23,-0.46, 9.64, 10594
25.29, 101654.44, 0.27,-0.54, 9.69, 10599
25.29, 101654.44, 0.21,-0.54, 9.66, 10604
25.29, 101654.44, 0.27,-0.56, 9.71, 10609
25.29, 101654.44, 0.27,-0.50, 9.67, 10614
25.29, 101654.44, 0.27,-0.57, 9.64, 10619
25.29, 101654.10, 0.17,-0.57, 9.54, 10624
25.29, 101654.10, 0.27,-0.52, 9.60, 10629
25.29, 101654.10, 0.23,-0.57, 9.67, 10634
25.29, 101654.10, 0.23,-0.56, 9.67, 10639
25.29, 101654.10, 0.25,-0.52, 9.64, 10644
25.29, 101654.10, 0.31,-0.54, 9.69, 10649
25.29, 101654.10, 0.23,-0.57, 9.58, 10654
25.29, 101655.36, 0.23,-0.52, 9.60, 10659
25.29, 101655.36, 0.29,-0.56, 9.66, 10664
25.29, 101655.36, 0.19,-0.56, 9.62, 10669
25.29, 101655.36, 0.23,-0.56, 9.60, 10674
25.29, 101655.36, 0.23,-0.57, 9.58, 10679
25.29, 101655.36, 0.23,-0.56, 9.56, 10684
25.29, 101655.36, 0.21,-0.56, 9.64, 10689
25.29, 101653.62, 0.27,-0.56, 9.64, 10694
25.29, 101653.62, 0.25,-0.54, 9.64, 10699
25.29, 101653.62, 0.29,-0.57, 9.67, 10704
25.29, 101653.62, 0.21,-0.59, 9.64, 10709
25.29, 101653.62, 0.15,-0.52, 9.71, 10714
25.29, 101653.62, 0.19,-0.56, 9.62, 10719
25.29, 101653.62, 0.21,-0.54, 9.66, 10724
25.29, 101655.36, 0.21,-0.59, 9.69, 10729
25.29, 101655.36, 0.27,-0.59, 9.66, 10734
25.29, 101655.36, 0.15,-0.50, 9.67, 10739
25.29, 101655.36, 0.23,-0.56, 9.37, 10744
25.29, 101655.36, 0.15,-0.59, 9.52, 10749
25.29, 101655.36, 0.13,-0.63, 9.46, 10754
25.29, 101655.36, 0.31,-0.54, 9.52, 10759
25.29, 101657.02, 0.25,-0.48, 9.54, 10764
25.29, 101657.02, 0.23,-0.54, 9.66, 10769
25.29, 101657.02, 0.17,-0.56, 9.64, 10774
25.29, 101657.02, 0.21,-0.52, 9.58, 10779
25.29, 101657.02, 0.27,-0.54, 9.66, 10784
25.29, 101657.02, 0.25,-0.57, 9.71, 10789
25.29, 101657.02, 0.25,-0.57, 9.66, 10794
25.29, 101653.22, 0.25,-0.57, 9.64, 10799
25.29, 101653.22, 0.19,-0.54, 9.64, 10804
25.29, 101653.22, 0.27,-0.57, 9.62, 10809
25.29, 101653.22, 0.19,-0.56, 9.64, 10814
25.29, 101653.22, 0.23,-0.54, 9.66, 10819
25.29, 101653.22, 0.21,-0.56, 9.66, 10824
25.29, 101653.22, 0.25,-0.61, 9.62, 10829
25.29, 101655.42, 0.23,-0.59, 9.64, 10834
25.29, 101655.42, 0.29,-0.48, 9.66, 10839
25.29, 101655.42, 0.27,-0.52, 9.54, 10844
25.29, 101655.42, 0.27,-0.56, 9.71, 10849
25.29, 101655.42, 0.29,-0.56, 9.62, 10854
25.29, 101655.42, 0.25,-0.57, 9.71, 10859
25.29, 101655.42, 0.17,-0.52, 9.67, 10864
25.29, 101655.42, 0.25,-0.50, 9.62, 10869
25.29, 101652.56, 0.21,-0.44, 9.54, 10874
25.29, 101652.56, 0.21,-0.56, 9.60, 10879
25.29, 101652.56, 0.25,-0.59, 9.66, 10884
25.29, 101652.56, 0.19,-0.52, 9.64, 10889
25.29, 101652.56, 0.21,-0.54, 9.66, 10894
25.29, 101652.56, 0.15,-0.56, 9.71, 10902
25.29, 101652.23, 0.17,-0.54, 9.66, 10906
25.29, 101652.23, 0.19,-0.59, 9.60, 10911
25.29, 101652.23, 0.23,-0.52, 9.69, 10916
